use ATM,10
check balance,5
insert card,5
withdraw money,4
allow you,4
make transaction,3
have option,3
transfer money,3
enter number,3
process transaction,2
accept card,2
report fraud,2
complete transaction,2
use card,2
incur fee,2
Select language,2
have money,2
take card,2
deposit money,2
make payment,2
contain code,1
prevent transaction,1
use keypad,1
create code,1
prevent information,1
permit ATM,1
dispense cash,1
accept deposit,1
provide information,1
use smartphone,1
use palm,1
form network,1
permit card,1
dispense package,1
contain sum,1
pay fee,1
have child,1
show you,1
send it,1
insert way,1
know direction,1
insert it,1
offer choice,1
give bank,1
open account,1
forget it,1
call bank,1
ask you,1
have both,1
offer amount,1
select 20,1
enter amount,1
withdraw 20,1
give cash,1
request 25,1
state this,1
accept fee,1
request receipt,1
put it,1
have chance,1
record transaction,1
take cash,1
count cash,1
receive amount,1
correct problem,1
make transfer,1
make deposit,1
offer feature,1
record amount,1
keep track,1
toss receipt,1
need it,1
type number,1
ask person,1
find ATM,1
cover keypad,1
read number,1
have surveillance,1
avoid those,1
use they,1
limit visit,1
have device,1
notify bank,1
notice withdraw,1
make that,1
practice procedure,1
find machine,1
face inward,1
have fee,1
own card,1
charge fee,1
have account,1
access ATM,1
swipe card,1
add security,1
offer transaction,1
enter pin,1
access account,1
shield pad,1
see it,1
steal information,1
withdraw amount,1
want money,1
insert stack,1
count they,1
use slip,1
deposit check,1
feed check,1
provide you,1
have one,1
fill envelope,1
get envelope,1
fill detail,1
insert check,1
reinsert card,1
start process,1
pay pre-set,1
follow prompt,1
end session,1
get card,1
press x,1
take money,1
take all,1
include phone,1
use banking,1
use phone,1
include many,1
enable customer,1
perform transaction,1
include money,1
have sign,1
indicate name,1
own ATM,1
access deposit,1
make variety,1
transfer credit,1
withdraw cash,1
match pin,1
