GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NaturalAPI_Discover,FourCats,AppConfig,0,3,0,0,0,1,0,1,0,1
NaturalAPI_Discover,FourCats,App,65,0,2,0,14,0,3,0,2,0
NaturalAPI_Discover,FourCats.Frameworks,StanfordNlp,127,0,8,0,23,0,6,0,2,0
NaturalAPI_Discover,FourCats.Frameworks,CLI,172,0,13,0,53,0,15,0,7,0
NaturalAPI_Discover,FourCats.Frameworks,FileSystemAccess,560,0,18,0,110,0,21,0,12,0
NaturalAPI_Discover,FourCats.InterfaceAdapters,Controller,34,0,0,0,14,0,4,0,4,0
NaturalAPI_Discover,FourCats.InterfaceAdapters,Repository,75,0,0,0,33,0,9,0,9,0
NaturalAPI_Discover,FourCats.InterfaceAdapters,DataPresenter,24,0,0,0,11,0,5,0,5,0
NaturalAPI_Discover,FourCats.DataStructure,WordTag,9,34,0,0,3,6,3,2,3,2
NaturalAPI_Discover,FourCats.DataStructure,AnalyzedData,77,0,2,0,18,0,9,0,8,0
NaturalAPI_Discover,FourCats.DataStructure,WordCounter,19,74,4,2,3,14,3,8,1,7
NaturalAPI_Discover,FourCats.DataStructure,LemmatizerData,56,50,8,2,12,11,6,5,2,4
NaturalAPI_Discover,FourCats.UseCaseUtilities,AnalyzeDocument,131,0,18,0,30,0,13,0,4,0
NaturalAPI_Discover,FourCats.UseCaseInteractor,CreateBdl,72,0,4,0,17,0,4,0,2,0
NaturalAPI_Discover,FourCats.UseCaseInteractor,AddDocuments,91,0,6,0,24,0,5,0,2,0
NaturalAPI_Discover,FourCats.UseCaseInteractor,RemoveDocuments,77,0,6,0,19,0,5,0,2,0
NaturalAPI_Discover,FourCats.Entities,Document,3,33,0,0,1,6,1,3,1,3
NaturalAPI_Discover,FourCats.Entities,Bdl,24,339,8,34,9,74,10,28,2,15
NaturalAPI_Discover,FourCats.Observer,Subject,29,0,2,0,9,0,4,0,3,0
